record_id,language,chapter_id,chapter_title,dialogue,length_chars,length_words,dialogue_id,character,speaker,speaker_confidence,attribution_method,emotion,emotion_score,polarity,subjectivity,affect_method,embedding_index,parallel_group,alignment_score,aligned_to_record_id,alignment_method,semantic_cluster,cluster_probability,cluster_method
en_ch13_dlg0029,en,13,CHAPTER XIII,"But no, little things that shine.",33,6,D000192,little_prince,little_prince,0.55,previous_speaker_window,neutral,0.0,0.0,0.0,multilingual_lexicon_character_context_v2,192,align_192_1108,0.9595,fr_ch13_dlg0013,cosine_multilingual_embeddings_v1,11,0.2017,kmeans_multilingual_embeddings_v1
en_ch13_dlg0031,en,13,CHAPTER XIII,But no. Little golden things that make the idlers laugh. But I am serious! I do not have time to daydream.,106,21,D000193,little_prince,little_prince,0.55,previous_speaker_window,joy,1.0,1.0,0.75,multilingual_lexicon_character_context_v2,193,align_193_1110,0.7438,fr_ch13_dlg0016,cosine_multilingual_embeddings_v1,8,0.223,kmeans_multilingual_embeddings_v1
en_ch13_dlg0032,en,13,CHAPTER XIII,That's right. Stars.,20,3,D000194,businessman,businessman,0.65,keyword_rules,neutral,0.0,0.0,0.0,multilingual_lexicon_character_context_v2,194,align_194_1112,0.9348,fr_ch13_dlg0018,cosine_multilingual_embeddings_v1,9,0.4113,kmeans_multilingual_embeddings_v1
en_ch13_dlg0033,en,13,CHAPTER XIII,"Five hundred and one million six hundred and twenty-two thousand seven hundred and thirty-one. I am serious, I am precise.",122,20,D000195,businessman,businessman,0.55,previous_speaker_window,neutral,0.0,0.0,0.1,multilingual_lexicon_character_context_v2,195,align_195_1114,0.9367,fr_ch13_dlg0020,cosine_multilingual_embeddings_v1,9,0.1231,kmeans_multilingual_embeddings_v1
en_ch13_dlg0034,en,13,CHAPTER XIII,What do I do with it?,21,6,D000196,businessman,businessman,0.55,previous_speaker_window,curiosity,1.0,0.0,0.75,multilingual_lexicon_character_context_v2,196,align_196_646,0.7014,es_ch13_dlg0021,cosine_multilingual_embeddings_v1,6,0.0797,kmeans_multilingual_embeddings_v1
en_ch13_dlg0036,en,13,CHAPTER XIII,Nothing. I own them.,20,4,D000197,businessman,businessman,0.55,previous_speaker_window,neutral,0.0,0.0,0.1,multilingual_lexicon_character_context_v2,197,align_197_1117,0.8777,fr_ch13_dlg0024,cosine_multilingual_embeddings_v1,11,0.1255,kmeans_multilingual_embeddings_v1
en_ch13_dlg0037,en,13,CHAPTER XIII,You got the stars?,18,4,D000198,businessman,businessman,0.65,keyword_rules,curiosity,1.0,0.0,0.65,multilingual_lexicon_character_context_v2,198,align_198_1118,0.8555,fr_ch13_dlg0025,cosine_multilingual_embeddings_v1,9,0.3846,kmeans_multilingual_embeddings_v1
en_ch13_dlg0039,en,13,CHAPTER XIII,"Kings do not possess. They ""reign"" over. It is very different.",62,11,D000199,businessman,businessman,0.55,previous_speaker_window,neutral,0.0,0.0,0.0,multilingual_lexicon_character_context_v2,199,align_199_1120,0.9596,fr_ch13_dlg0028,cosine_multilingual_embeddings_v1,2,0.124,kmeans_multilingual_embeddings_v1
en_ch13_dlg0040,en,13,CHAPTER XIII,It's good for me to be rich.,28,7,D000200,businessman,businessman,0.55,previous_speaker_window,neutral,0.0,0.0,0.2,multilingual_lexicon_character_context_v2,200,align_200_1122,0.9429,fr_ch13_dlg0030,cosine_multilingual_embeddings_v1,3,0.1138,kmeans_multilingual_embeddings_v1
en_ch13_dlg0041,en,13,CHAPTER XIII,"To buy other stars, if someone finds them.",42,8,D000201,businessman,businessman,0.65,keyword_rules,neutral,0.0,0.0,0.0,multilingual_lexicon_character_context_v2,201,align_201_1124,0.9409,fr_ch13_dlg0033,cosine_multilingual_embeddings_v1,9,0.3477,kmeans_multilingual_embeddings_v1
en_ch13_dlg0042,en,13,CHAPTER XIII,"Who are they? Riposta, grumpy, businessman.",43,6,D000202,businessman,businessman,0.65,keyword_rules,curiosity,1.0,0.0,0.65,multilingual_lexicon_character_context_v2,202,align_202_1126,0.8222,fr_ch13_dlg0035,cosine_multilingual_embeddings_v1,6,0.1184,kmeans_multilingual_embeddings_v1
en_ch13_dlg0043,en,13,CHAPTER XIII,I do not know. To no one.,25,7,D000203,businessman,businessman,0.55,previous_speaker_window,curiosity,1.0,0.0,0.75,multilingual_lexicon_character_context_v2,203,align_203_1127,0.883,fr_ch13_dlg0036,cosine_multilingual_embeddings_v1,11,0.2839,kmeans_multilingual_embeddings_v1
en_ch13_dlg0044,en,13,CHAPTER XIII,That's enough ?,15,3,D000204,businessman,businessman,0.55,previous_speaker_window,curiosity,1.0,0.0,0.65,multilingual_lexicon_character_context_v2,204,align_204_657,0.9288,es_ch13_dlg0035,cosine_multilingual_embeddings_v1,6,0.1891,kmeans_multilingual_embeddings_v1
en_ch13_dlg0045,en,13,CHAPTER XIII,"Of course. When you find a diamond that belongs to no one, it is yours. When you find an island that belongs to no one, it is yours. When you have an idea first, you patent it: it is yours. And I possess the stars, since no one before me thought of possessing them.",265,54,D000205,businessman,businessman,0.65,keyword_rules,curiosity,1.0,0.0,0.95,multilingual_lexicon_character_context_v2,205,align_205_658,0.9456,es_ch13_dlg0036,cosine_multilingual_embeddings_v1,9,0.2343,kmeans_multilingual_embeddings_v1
en_ch13_dlg0046,en,13,CHAPTER XIII,"I deal with them. I count them and recount them, says the businessman. It's difficult. But I'm a serious man! """,111,21,D000206,businessman,businessman,0.65,keyword_rules,neutral,0.0,0.0,0.1,multilingual_lexicon_character_context_v2,206,align_206_1132,0.8854,fr_ch13_dlg0041,cosine_multilingual_embeddings_v1,10,0.1257,kmeans_multilingual_embeddings_v1
en_ch13_dlg0047,en,13,CHAPTER XIII,What does it mean ?,19,5,D000207,businessman,businessman,0.55,previous_speaker_window,curiosity,1.0,0.0,0.65,multilingual_lexicon_character_context_v2,207,align_207_1135,0.9521,fr_ch13_dlg0044,cosine_multilingual_embeddings_v1,6,0.2982,kmeans_multilingual_embeddings_v1
en_ch13_dlg0048,en,13,CHAPTER XIII,And that's all ?,16,4,D000208,businessman,businessman,0.55,previous_speaker_window,curiosity,1.0,0.0,0.65,multilingual_lexicon_character_context_v2,208,align_208_1137,0.9515,fr_ch13_dlg0046,cosine_multilingual_embeddings_v1,6,0.3519,kmeans_multilingual_embeddings_v1
en_ch13_dlg0049,en,13,CHAPTER XIII,"That's enough ! """,17,4,D000209,businessman,businessman,0.55,previous_speaker_window,neutral,0.0,0.0,0.0,multilingual_lexicon_character_context_v2,209,align_209_1138,0.9065,fr_ch13_dlg0047,cosine_multilingual_embeddings_v1,3,0.2065,kmeans_multilingual_embeddings_v1
en_ch14_dlg0000,en,14,CHAPTER XIV,"Maybe this man is absurd. However, it is less absurd than the king, the vain, the businessman and the drinker. At least his work makes sense. When he lights his lamppost, it is as if he were creating another star, or a flower. When he turns off his lamppost, it puts the flower or the star to sleep. It is a very pretty occupation. This is really useful since it is beautiful.",376,72,D000210,rose,rose,0.65,keyword_rules,curiosity,0.4286,0.0,0.4214,multilingual_lexicon_character_context_v2,210,align_210_668,0.8866,es_ch14_dlg0000,cosine_multilingual_embeddings_v1,9,0.1975,kmeans_multilingual_embeddings_v1
en_ch14_dlg0001,en,14,CHAPTER XIV,Hello. Why did you just turn off your street lamp?,50,10,D000211,lamplighter,lamplighter,0.65,keyword_rules,curiosity,0.8,0.0,0.57,multilingual_lexicon_character_context_v2,211,align_211_1147,0.7758,fr_ch14_dlg0007,cosine_multilingual_embeddings_v1,8,0.2113,kmeans_multilingual_embeddings_v1
en_ch14_dlg0002,en,14,CHAPTER XIV,replied the lighter. Hello.,27,4,D000212,lamplighter,lamplighter,0.55,previous_speaker_window,sadness,1.0,0.0,0.65,multilingual_lexicon_character_context_v2,212,align_212_1144,0.7277,fr_ch14_dlg0004,cosine_multilingual_embeddings_v1,1,0.307,kmeans_multilingual_embeddings_v1
en_ch14_dlg0005,en,14,CHAPTER XIV,But why have you just turned it on?,35,8,D000213,lamplighter,lamplighter,0.55,previous_speaker_window,curiosity,0.8,0.0,0.57,multilingual_lexicon_character_context_v2,213,align_213_1147,0.7527,fr_ch14_dlg0007,cosine_multilingual_embeddings_v1,8,0.1091,kmeans_multilingual_embeddings_v1
en_ch14_dlg0006,en,14,CHAPTER XIV,"That is the order,",18,4,D000214,king,king,0.65,keyword_rules,anger,1.0,0.0,0.65,multilingual_lexicon_character_context_v2,214,align_214_1144,0.4434,fr_ch14_dlg0004,cosine_multilingual_embeddings_v1,6,0.1521,kmeans_multilingual_embeddings_v1
en_ch14_dlg0007,en,14,CHAPTER XIV,"I do not understand,",20,4,D000215,king,king,0.55,previous_speaker_window,curiosity,1.0,0.0,0.75,multilingual_lexicon_character_context_v2,215,align_215_677,0.732,es_ch14_dlg0010,cosine_multilingual_embeddings_v1,11,0.2152,kmeans_multilingual_embeddings_v1
en_ch14_dlg0008,en,14,CHAPTER XIV,"There is nothing to understand,",31,5,D000216,king,king,0.55,previous_speaker_window,curiosity,1.0,0.0,0.65,multilingual_lexicon_character_context_v2,216,align_216_1150,0.684,fr_ch14_dlg0010,cosine_multilingual_embeddings_v1,11,0.1951,kmeans_multilingual_embeddings_v1
en_ch14_dlg0009,en,14,CHAPTER XIV,And he put out his street lamp. Then he wiped his forehead with a red-checked handkerchief.,91,16,D000217,lamplighter,lamplighter,0.65,keyword_rules,sadness,1.0,0.0,0.65,multilingual_lexicon_character_context_v2,217,align_217_674,0.4692,es_ch14_dlg0007,cosine_multilingual_embeddings_v1,10,0.1932,kmeans_multilingual_embeddings_v1
en_ch14_dlg0012,en,14,CHAPTER XIV,"said the lighter. That is the tragedy! The planet from year to year has turned faster and faster, and the deposit has not changed! - So ? Said the little prince.",161,31,D000218,little_prince,little_prince,0.65,keyword_rules,curiosity,1.0,0.0,0.65,multilingual_lexicon_character_context_v2,218,align_218_681,0.6892,es_ch14_dlg0014,cosine_multilingual_embeddings_v1,2,0.3177,kmeans_multilingual_embeddings_v1
en_ch14_dlg0013,en,14,CHAPTER XIV,I turn on and off once a minute! - Now that's funny ! The days at your house last a minute!,91,21,D000219,little_prince,little_prince,0.55,previous_speaker_window,neutral,0.0,0.0,0.1,multilingual_lexicon_character_context_v2,219,align_219_1156,0.755,fr_ch14_dlg0016,cosine_multilingual_embeddings_v1,8,0.2886,kmeans_multilingual_embeddings_v1
en_ch14_dlg0014,en,14,CHAPTER XIV,said the lighter. It's been a month since we've been talking together. - A month ? - Yes. Thirty minutes. Thirty days ! Good evening.,133,25,D000220,little_prince,little_prince,0.55,previous_speaker_window,curiosity,1.0,0.0,0.65,multilingual_lexicon_character_context_v2,220,align_220_686,0.6979,es_ch14_dlg0020,cosine_multilingual_embeddings_v1,8,0.2443,kmeans_multilingual_embeddings_v1
en_ch14_dlg0015,en,14,CHAPTER XIV,You know ... I know a way to rest when you want ...,51,13,D000221,little_prince,little_prince,0.55,previous_speaker_window,curiosity,1.0,0.0,0.85,multilingual_lexicon_character_context_v2,221,align_221_1160,0.9741,fr_ch14_dlg0020,cosine_multilingual_embeddings_v1,8,0.273,kmeans_multilingual_embeddings_v1
en_ch14_dlg0016,en,14,CHAPTER XIV,"I always want,",14,3,D000222,little_prince,little_prince,0.55,previous_speaker_window,neutral,0.0,0.0,0.2,multilingual_lexicon_character_context_v2,222,align_222_688,0.8188,es_ch14_dlg0022,cosine_multilingual_embeddings_v1,3,0.1359,kmeans_multilingual_embeddings_v1
en_ch14_dlg0017,en,14,CHAPTER XIV,Y our planet is so small that you go around it in three strides. You only have to walk slowly to stay in the sun. When you want to rest you will walk ... and the day will last as long as you want.,196,44,D000223,little_prince,little_prince,0.55,previous_speaker_window,curiosity,1.0,0.0,0.75,multilingual_lexicon_character_context_v2,223,align_223_1162,0.9093,fr_ch14_dlg0022,cosine_multilingual_embeddings_v1,5,0.2483,kmeans_multilingual_embeddings_v1
en_ch14_dlg0018,en,14,CHAPTER XIV,said the lighter. What I like about life is sleeping.,53,10,D000224,little_prince,little_prince,0.55,previous_speaker_window,curiosity,1.0,0.0,0.75,multilingual_lexicon_character_context_v2,224,align_224_1163,0.8098,fr_ch14_dlg0023,cosine_multilingual_embeddings_v1,8,0.253,kmeans_multilingual_embeddings_v1
en_ch14_dlg0019,en,14,CHAPTER XIV,said the little prince.,23,4,D000225,little_prince,little_prince,0.65,keyword_rules,neutral,0.0,0.0,0.0,multilingual_lexicon_character_context_v2,225,align_225_1154,0.95,fr_ch14_dlg0014,cosine_multilingual_embeddings_v1,2,0.5587,kmeans_multilingual_embeddings_v1
en_ch14_dlg0020,en,14,CHAPTER XIV,said the lighter. Hello.,24,4,D000226,little_prince,little_prince,0.55,previous_speaker_window,neutral,0.0,0.0,0.0,multilingual_lexicon_character_context_v2,226,align_226_1144,0.7287,fr_ch14_dlg0004,cosine_multilingual_embeddings_v1,1,0.2995,kmeans_multilingual_embeddings_v1
en_ch14_dlg0022,en,14,CHAPTER XIV,"as he pursued his journey further, he would be despised by all the others, by the king, by the vain, by the drinker, by the businessman.",136,26,D000227,king,king,0.65,keyword_rules,neutral,0.0,0.0,0.0,multilingual_lexicon_character_context_v2,227,align_227_669,0.6574,es_ch14_dlg0002,cosine_multilingual_embeddings_v1,10,0.1331,kmeans_multilingual_embeddings_v1
en_ch14_dlg0023,en,14,CHAPTER XIV,He sighed with regret and said to himself again:,48,9,D000228,king,king,0.55,previous_speaker_window,neutral,0.0,0.0,0.0,multilingual_lexicon_character_context_v2,228,align_228_676,0.4263,es_ch14_dlg0009,cosine_multilingual_embeddings_v1,10,0.296,kmeans_multilingual_embeddings_v1
en_ch14_dlg0024,en,14,CHAPTER XIV,So ? Said the little prince.,28,6,D000229,little_prince,little_prince,0.65,keyword_rules,curiosity,1.0,0.0,0.65,multilingual_lexicon_character_context_v2,229,align_229_1154,0.9505,fr_ch14_dlg0014,cosine_multilingual_embeddings_v1,2,0.5403,kmeans_multilingual_embeddings_v1
en_ch14_dlg0025,en,14,CHAPTER XIV,Now that's funny ! The days at your house last a minute!,56,12,D000230,little_prince,little_prince,0.55,previous_speaker_window,neutral,0.0,0.0,0.0,multilingual_lexicon_character_context_v2,230,align_230_1156,0.8863,fr_ch14_dlg0016,cosine_multilingual_embeddings_v1,8,0.3192,kmeans_multilingual_embeddings_v1
en_ch14_dlg0026,en,14,CHAPTER XIV,A month ?,9,3,D000231,little_prince,little_prince,0.55,previous_speaker_window,curiosity,1.0,0.0,0.65,multilingual_lexicon_character_context_v2,231,align_231_1158,0.9883,fr_ch14_dlg0018,cosine_multilingual_embeddings_v1,8,0.1377,kmeans_multilingual_embeddings_v1
en_ch14_dlg0027,en,14,CHAPTER XIV,Yes. Thirty minutes. Thirty days ! Good evening.,48,8,D000232,little_prince,little_prince,0.55,previous_speaker_window,neutral,0.0,0.0,0.0,multilingual_lexicon_character_context_v2,232,align_232_686,0.9539,es_ch14_dlg0020,cosine_multilingual_embeddings_v1,8,0.2973,kmeans_multilingual_embeddings_v1
en_ch15_dlg0000,en,15,CHAPTER XV,"Here! Here is an explorer! Cried he, when he perceived the little prince. The little prince sat down on the table and breathed a little. He already had traveled so much !",170,32,D000233,little_prince,little_prince,0.65,keyword_rules,curiosity,1.0,0.0,0.65,multilingual_lexicon_character_context_v2,233,align_233_1167,0.847,fr_ch15_dlg0004,cosine_multilingual_embeddings_v1,2,0.4142,kmeans_multilingual_embeddings_v1
en_ch15_dlg0001,en,15,CHAPTER XV,"I am a geographer,",18,4,D000234,geographer,geographer,0.75,keyword_rules,neutral,0.0,0.0,0.1,multilingual_lexicon_character_context_v2,234,align_234_700,0.8019,es_ch15_dlg0007,cosine_multilingual_embeddings_v1,4,0.3138,kmeans_multilingual_embeddings_v1
en_ch15_dlg0002,en,15,CHAPTER XV,What is a geographer?,21,4,D000235,geographer,geographer,0.75,keyword_rules,curiosity,1.0,0.0,0.65,multilingual_lexicon_character_context_v2,235,align_235_700,0.9038,es_ch15_dlg0007,cosine_multilingual_embeddings_v1,4,0.2865,kmeans_multilingual_embeddings_v1
en_ch15_dlg0003,en,15,CHAPTER XV,"He is a scientist who knows where the seas, rivers, cities, mountains and deserts are.",86,15,D000236,geographer,geographer,0.7,sandwich_propagation,curiosity,1.0,0.0,0.65,multilingual_lexicon_character_context_v2,236,align_236_1172,0.844,fr_ch15_dlg0009,cosine_multilingual_embeddings_v1,4,0.2149,kmeans_multilingual_embeddings_v1
en_ch15_dlg0004,en,15,CHAPTER XV,said the little prince. It's finally a real job! And he cast a glance around him on the geographer's planet. He had never seen a planet so majestic.,148,28,D000237,geographer,geographer,0.75,keyword_rules,neutral,0.0,0.0,0.0,multilingual_lexicon_character_context_v2,237,align_237_1173,0.9345,fr_ch15_dlg0010,cosine_multilingual_embeddings_v1,5,0.3753,kmeans_multilingual_embeddings_v1
en_ch15_dlg0005,en,15,CHAPTER XV,"I cannot know,",14,3,D000238,geographer,geographer,0.55,previous_speaker_window,curiosity,1.0,0.0,0.75,multilingual_lexicon_character_context_v2,238,align_238_708,0.9036,es_ch15_dlg0015,cosine_multilingual_embeddings_v1,11,0.2361,kmeans_multilingual_embeddings_v1
en_ch15_dlg0006,en,15,CHAPTER XV,Ah! (The little prince was disappointed.) And mountains?,56,8,D000239,little_prince,little_prince,0.65,keyword_rules,curiosity,1.0,0.0,0.65,multilingual_lexicon_character_context_v2,239,align_239_1176,0.9735,fr_ch15_dlg0013,cosine_multilingual_embeddings_v1,2,0.4406,kmeans_multilingual_embeddings_v1
en_ch15_dlg0007,en,15,CHAPTER XV,said the geographer.,20,3,D000240,geographer,geographer,0.75,keyword_rules,neutral,0.0,0.0,0.0,multilingual_lexicon_character_context_v2,240,align_240_719,0.8628,es_ch15_dlg0027,cosine_multilingual_embeddings_v1,4,0.4111,kmeans_multilingual_embeddings_v1
en_ch15_dlg0011,en,15,CHAPTER XV,"but I am not an explorer. I absolutely lack explorers. It is not the geographer who will count cities, rivers, mountains, seas, oceans and deserts. The geographer is too important to stroll. He does not leave his office. But he receives the explorers there. He interrogates them, and takes note of their memories. And if the memories of one of them seem interesting to him, the geographer makes investigate the morality of the explorer. - Why this ?",449,78,D000241,geographer,geographer,0.8500000000000001,keyword_rules,curiosity,0.6667,1.0,0.6167,multilingual_lexicon_character_context_v2,241,align_241_1180,0.8486,fr_ch15_dlg0018,cosine_multilingual_embeddings_v1,4,0.3181,kmeans_multilingual_embeddings_v1
en_ch15_dlg0012,en,15,CHAPTER XV,And also an explorer who would drink too much. - Why this ? Said the little prince.,83,17,D000242,little_prince,little_prince,0.65,keyword_rules,curiosity,1.0,0.0,0.65,multilingual_lexicon_character_context_v2,242,align_242_1183,0.7476,fr_ch15_dlg0021,cosine_multilingual_embeddings_v1,2,0.3862,kmeans_multilingual_embeddings_v1
en_ch15_dlg0013,en,15,CHAPTER XV,"Then the geographer would note two mountains, where there is only one.",70,12,D000243,geographer,geographer,0.75,keyword_rules,curiosity,1.0,0.0,0.65,multilingual_lexicon_character_context_v2,243,align_243_1184,0.821,fr_ch15_dlg0022,cosine_multilingual_embeddings_v1,4,0.2912,kmeans_multilingual_embeddings_v1
en_ch15_dlg0014,en,15,CHAPTER XV,"said the little prince, who would be a bad explorer. - It's possible. So when the morality of the explorer seems good, an inquiry is made into his discovery. - We will see ? - No. It's too complicated. But the explorer is required to provide evidence. If, for example, the discovery of a large mountain is required, it is required to bring large stones.",353,65,D000244,little_prince,little_prince,0.65,keyword_rules,curiosity,1.0,0.0,0.65,multilingual_lexicon_character_context_v2,244,align_244_1188,0.7987,fr_ch15_dlg0026,cosine_multilingual_embeddings_v1,4,0.2851,kmeans_multilingual_embeddings_v1
en_ch15_dlg0015,en,15,CHAPTER XV,But you come from a distance! You're an explorer! You're going to describe your planet!,87,15,D000245,geographer,geographer,0.65,keyword_rules,neutral,0.0,0.0,0.0,multilingual_lexicon_character_context_v2,245,align_245_718,0.9558,es_ch15_dlg0026,cosine_multilingual_embeddings_v1,5,0.4056,kmeans_multilingual_embeddings_v1
en_ch15_dlg0016,en,15,CHAPTER XV,"So ? Inquired the geographer. - Oh ! At home,",45,10,D000246,geographer,geographer,0.75,keyword_rules,curiosity,1.0,0.0,0.65,multilingual_lexicon_character_context_v2,246,align_246_719,0.7782,es_ch15_dlg0027,cosine_multilingual_embeddings_v1,4,0.2831,kmeans_multilingual_embeddings_v1
en_ch15_dlg0017,en,15,CHAPTER XV,"it's not very interesting, it's very small. I have three volcanoes. Two active volcanoes, and an extinct volcano. But we never know.",132,22,D000247,geographer,geographer,0.7,sandwich_propagation,curiosity,1.0,0.0,0.75,multilingual_lexicon_character_context_v2,247,align_247_1191,0.8638,fr_ch15_dlg0029,cosine_multilingual_embeddings_v1,4,0.2133,kmeans_multilingual_embeddings_v1
en_ch15_dlg0018,en,15,CHAPTER XV,said the geographer. - I also have a flower.,44,9,D000248,geographer,geographer,0.75,keyword_rules,neutral,0.0,0.0,0.1,multilingual_lexicon_character_context_v2,248,align_248_722,0.8026,es_ch15_dlg0030,cosine_multilingual_embeddings_v1,7,0.4038,kmeans_multilingual_embeddings_v1
en_ch15_dlg0019,en,15,CHAPTER XV,said the geographer. - Why this ! This is the nicest!,53,11,D000249,geographer,geographer,0.75,keyword_rules,curiosity,1.0,0.0,0.65,multilingual_lexicon_character_context_v2,249,align_249_719,0.7327,es_ch15_dlg0027,cosine_multilingual_embeddings_v1,4,0.3428,kmeans_multilingual_embeddings_v1
en_ch15_dlg0020,en,15,CHAPTER XV,- What does 'ephemeral' mean?,29,5,D000250,geographer,geographer,0.7,sandwich_propagation,curiosity,1.0,0.0,0.65,multilingual_lexicon_character_context_v2,250,align_250_1197,0.7592,fr_ch15_dlg0035,cosine_multilingual_embeddings_v1,6,0.1641,kmeans_multilingual_embeddings_v1
en_ch15_dlg0021,en,15,CHAPTER XV,"said the geographer,",20,3,D000251,geographer,geographer,0.75,keyword_rules,neutral,0.0,0.0,0.0,multilingual_lexicon_character_context_v2,251,align_251_719,0.8512,es_ch15_dlg0027,cosine_multilingual_embeddings_v1,4,0.4114,kmeans_multilingual_embeddings_v1
en_ch15_dlg0022,en,15,CHAPTER XV,"But the extinct volcanoes can wake up,",38,7,D000252,geographer,geographer,0.55,previous_speaker_window,neutral,0.0,0.0,0.0,multilingual_lexicon_character_context_v2,252,align_252_728,0.8249,es_ch15_dlg0036,cosine_multilingual_embeddings_v1,4,0.1577,kmeans_multilingual_embeddings_v1
en_ch15_dlg0024,en,15,CHAPTER XV,"Whether volcanoes are extinguished or awakened is the same for us,",66,11,D000253,geographer,geographer,0.55,previous_speaker_window,neutral,0.0,0.0,0.0,multilingual_lexicon_character_context_v2,253,align_253_729,0.8271,es_ch15_dlg0037,cosine_multilingual_embeddings_v1,4,0.172,kmeans_multilingual_embeddings_v1
en_ch15_dlg0025,en,15,CHAPTER XV,But what does,13,3,D000254,geographer,geographer,0.55,previous_speaker_window,curiosity,1.0,0.0,0.65,multilingual_lexicon_character_context_v2,254,align_254_726,0.6441,es_ch15_dlg0034,cosine_multilingual_embeddings_v1,6,0.3511,kmeans_multilingual_embeddings_v1
en_ch15_dlg0026,en,15,CHAPTER XV,"mean? Repeated the little prince, who had never given up a question in his life once he had asked it. - It means",112,23,D000255,little_prince,little_prince,0.65,keyword_rules,curiosity,1.0,0.0,0.65,multilingual_lexicon_character_context_v2,255,align_255_1201,0.9101,fr_ch15_dlg0039,cosine_multilingual_embeddings_v1,2,0.3402,kmeans_multilingual_embeddings_v1
en_ch15_dlg0027,en,15,CHAPTER XV,. - My flower is threatened with disappearance soon? - Of course.,65,12,D000256,rose,rose,0.65,keyword_rules,curiosity,0.5,0.0,0.55,multilingual_lexicon_character_context_v2,256,align_256_1203,0.8965,fr_ch15_dlg0041,cosine_multilingual_embeddings_v1,7,0.4106,kmeans_multilingual_embeddings_v1
en_ch15_dlg0028,en,15,CHAPTER XV,"thought the little prince,",26,4,D000257,little_prince,little_prince,0.65,keyword_rules,neutral,0.0,0.0,0.0,multilingual_lexicon_character_context_v2,257,align_257_1183,0.8803,fr_ch15_dlg0021,cosine_multilingual_embeddings_v1,2,0.5204,kmeans_multilingual_embeddings_v1
en_ch15_dlg0029,en,15,CHAPTER XV,This was his first movement of regret. But he resumed his courage:,66,12,D000258,little_prince,little_prince,0.55,previous_speaker_window,neutral,0.0,0.0,0.0,multilingual_lexicon_character_context_v2,258,align_258_705,0.4513,es_ch15_dlg0012,cosine_multilingual_embeddings_v1,10,0.2272,kmeans_multilingual_embeddings_v1
en_ch15_dlg0031,en,15,CHAPTER XV,replied the geographer. She has a good reputation ...,53,9,D000259,geographer,geographer,0.75,keyword_rules,neutral,0.0,0.0,0.0,multilingual_lexicon_character_context_v2,259,align_259_1205,0.5918,fr_ch15_dlg0044,cosine_multilingual_embeddings_v1,4,0.201,kmeans_multilingual_embeddings_v1
en_ch15_dlg0032,en,15,CHAPTER XV,What is this big book? Said the little prince. What are you doing here ?,72,15,D000260,little_prince,little_prince,0.65,keyword_rules,curiosity,1.0,0.0,0.65,multilingual_lexicon_character_context_v2,260,align_260_1169,0.9711,fr_ch15_dlg0006,cosine_multilingual_embeddings_v1,2,0.3857,kmeans_multilingual_embeddings_v1
en_ch15_dlg0033,en,15,CHAPTER XV,Why this ?,10,3,D000261,little_prince,little_prince,0.7,sandwich_propagation,curiosity,1.0,0.0,0.65,multilingual_lexicon_character_context_v2,261,align_261_1181,0.8562,fr_ch15_dlg0019,cosine_multilingual_embeddings_v1,6,0.2117,kmeans_multilingual_embeddings_v1
en_ch15_dlg0034,en,15,CHAPTER XV,Why this ? Said the little prince.,34,7,D000262,little_prince,little_prince,0.65,keyword_rules,curiosity,1.0,0.0,0.65,multilingual_lexicon_character_context_v2,262,align_262_1183,0.9471,fr_ch15_dlg0021,cosine_multilingual_embeddings_v1,2,0.5358,kmeans_multilingual_embeddings_v1
en_ch15_dlg0035,en,15,CHAPTER XV,"It's possible. So when the morality of the explorer seems good, an inquiry is made into his discovery.",102,18,D000263,geographer,geographer,0.65,keyword_rules,curiosity,1.0,0.0,0.65,multilingual_lexicon_character_context_v2,263,align_263_715,0.9108,es_ch15_dlg0023,cosine_multilingual_embeddings_v1,4,0.2089,kmeans_multilingual_embeddings_v1
en_ch15_dlg0036,en,15,CHAPTER XV,We will see ?,13,4,D000264,geographer,geographer,0.7,sandwich_propagation,curiosity,1.0,0.0,0.65,multilingual_lexicon_character_context_v2,264,align_264_1187,0.8343,fr_ch15_dlg0025,cosine_multilingual_embeddings_v1,6,0.1287,kmeans_multilingual_embeddings_v1
en_ch15_dlg0037,en,15,CHAPTER XV,"No. It's too complicated. But the explorer is required to provide evidence. If, for example, the discovery of a large mountain is required, it is required to bring large stones.",177,30,D000265,geographer,geographer,0.65,keyword_rules,neutral,0.0,0.0,0.0,multilingual_lexicon_character_context_v2,265,align_265_1188,0.9478,fr_ch15_dlg0026,cosine_multilingual_embeddings_v1,4,0.282,kmeans_multilingual_embeddings_v1
en_ch15_dlg0038,en,15,CHAPTER XV,"Oh ! At home, ""said the little prince, "" it's not very interesting, it's very small. I have three volcanoes. Two active volcanoes, and an extinct volcano. But we never know.",173,31,D000266,little_prince,little_prince,0.65,keyword_rules,curiosity,1.0,0.0,0.75,multilingual_lexicon_character_context_v2,266,align_266_1191,0.96,fr_ch15_dlg0029,cosine_multilingual_embeddings_v1,2,0.2919,kmeans_multilingual_embeddings_v1
en_ch15_dlg0039,en,15,CHAPTER XV,I also have a flower.,21,5,D000267,rose,rose,0.65,keyword_rules,love,0.5,0.0,0.55,multilingual_lexicon_character_context_v2,267,align_267_1193,0.9859,fr_ch15_dlg0031,cosine_multilingual_embeddings_v1,7,0.4318,kmeans_multilingual_embeddings_v1
